NDVI,WET,NDBSI,LST,RESI
0.807824,0.883103,0.353248,0.297083,0.712675
0.624963,0.864889,0.519725,0.415284,0.496647
0.434637,0.83725,0.670008,0.417426,0.307103
0.328943,0.680604,0.918194,0.465262,0.0909475
0.418666,0.860138,0.634878,0.441306,0.314312
0.461417,0.810942,0.674275,0.474734,0.305773
0.897408,0.87806,0.299164,0.324634,0.78555
0.794011,0.899684,0.303494,0.372868,0.717852
0.779059,0.910732,0.265423,0.378214,0.729656
0.424139,0.82488,0.699883,0.417294,0.284171
0.883399,0.899157,0.264643,0.275246,0.807927
0.870085,0.892511,0.28853,0.319608,0.778321
0.795576,0.884692,0.373233,0.289239,0.696959
0.79156,0.868328,0.385057,0.32227,0.6802
0.644331,0.824929,0.563814,0.41072,0.481009
0.485963,0.807894,0.665531,0.380937,0.342516
0.804042,0.877537,0.385458,0.278731,0.696603
0.676284,0.837255,0.510243,0.42543,0.525605
0.877847,0.908936,0.239777,0.278414,0.818331
0.539998,0.697256,0.681594,0.496359,0.330009
0.723659,0.847644,0.496432,0.434253,0.558814
0.772905,0.891543,0.363813,0.329063,0.681996
0.49457,0.83261,0.624915,0.433644,0.360877
0.729227,0.879378,0.416038,0.337864,0.626871
0.884669,0.898454,0.268714,0.283635,0.804748
0.862129,0.878911,0.334151,0.289533,0.754322
0.872485,0.895672,0.28062,0.344524,0.779219
0.486891,0.852131,0.615438,0.446779,0.360973
0.871708,0.905155,0.246124,0.381213,0.790694
0.660186,0.868799,0.47406,0.343784,0.55518
0.728187,0.856691,0.482023,0.365887,0.583501
0.473872,0.841646,0.63672,0.38467,0.353689
0.591459,0.833162,0.583893,0.445324,0.434682
0.796533,0.864491,0.399115,0.35091,0.669471
0.711077,0.873645,0.41333,0.376975,0.609744
0.56652,0.869259,0.527839,0.440456,0.454995
0.425156,0.863123,0.608397,0.486335,0.323304
0.847904,0.896145,0.299208,0.328111,0.758908
0.521079,0.838287,0.642127,0.40203,0.373533
0.577921,0.877818,0.497087,0.405656,0.485452
0.402918,0.862949,0.628726,0.369078,0.323379
0.664298,0.884188,0.416598,0.368887,0.584452
0.789022,0.859518,0.43854,0.324493,0.649158
0.767336,0.89437,0.340678,0.371162,0.683016
0.555573,0.863024,0.558624,0.420654,0.435875
0.446056,0.803504,0.716941,0.479633,0.272859
0.600921,0.847548,0.552499,0.336622,0.479689
0.787243,0.888819,0.360381,0.287168,0.699911
0.814807,0.885345,0.344799,0.290847,0.722531
0.432196,0.868707,0.617794,0.461541,0.327796
0.885965,0.88919,0.29073,0.284291,0.792754
0.531666,0.818148,0.64683,0.45187,0.365003
0.543591,0.84547,0.602346,0.410712,0.406209
0.839397,0.891435,0.321908,0.29381,0.748471
0.491071,0.836105,0.640967,0.508792,0.335842
0.494164,0.828254,0.624153,0.431248,0.36108
0.95116,0.941257,0.0666191,0.228834,0.964198
0.664486,0.868936,0.465976,0.379415,0.554794
0.624702,0.862913,0.518393,0.368017,0.506402
0.352046,0.856974,0.692438,0.457438,0.242958
0.870404,0.918116,0.21347,0.32168,0.820397
0.418485,0.857236,0.642709,0.419284,0.314153
0.585621,0.820543,0.622325,0.446071,0.409644
0.756696,0.852985,0.456973,0.37406,0.610737
0.891688,0.919058,0.173469,0.257821,0.866286
0.421324,0.810303,0.710861,0.39165,0.280388
0.550119,0.798096,0.663708,0.439526,0.366832
0.356497,0.848379,0.616626,0.526485,0.270909
0.680184,0.866128,0.491625,0.399276,0.545809
0.902218,0.918996,0.16908,0.257252,0.874624
0.764827,0.886496,0.366523,0.309051,0.67949
0.769244,0.874033,0.397735,0.290055,0.667967
0.824844,0.879874,0.363274,0.292673,0.717474
0.83143,0.87511,0.362635,0.303329,0.718898
0.774535,0.854835,0.436936,0.388196,0.628721
0.869635,0.913774,0.213365,0.300509,0.823785
0.365257,0.855032,0.689599,0.483044,0.246581
0.872024,0.887196,0.314432,0.275828,0.773878
0.54853,0.881311,0.508042,0.433321,0.45802
0.515153,0.850289,0.592164,0.413474,0.395574
0.658581,0.87455,0.456148,0.427654,0.547657
0.790254,0.88054,0.359349,0.396864,0.679477
0.574833,0.872534,0.513104,0.37011,0.481778
0.540276,0.833669,0.593274,0.389879,0.412072
0.608097,0.810816,0.587583,0.416041,0.445595
0.658581,0.872402,0.472535,0.389227,0.546418
0.822169,0.868571,0.368481,0.359123,0.698839
0.39587,0.880888,0.60533,0.442544,0.319024
0.606987,0.828557,0.567891,0.378246,0.464724
0.513828,0.819346,0.687871,0.474831,0.328854
0.731964,0.862146,0.462705,0.417655,0.586097
0.820828,0.880817,0.349932,0.30413,0.72009
0.533585,0.813924,0.642832,0.432053,0.3717
0.50633,0.875796,0.565326,0.492345,0.391746
0.34918,0.817657,0.734068,0.43148,0.220459
0.846289,0.895697,0.298708,0.274199,0.768942
0.655221,0.861745,0.505022,0.415218,0.521094
0.653522,0.853372,0.522905,0.33775,0.525233
0.392176,0.853355,0.652597,0.497599,0.278182
0.88979,0.905875,0.238112,0.280185,0.825247
0.500013,0.860513,0.586612,0.436853,0.386413
0.72114,0.876366,0.434146,0.396678,0.600753
0.718032,0.855485,0.458528,0.383,0.586691
0.467972,0.828147,0.671005,0.450794,0.317714
0.840289,0.896613,0.302835,0.300123,0.758331
0.836488,0.872476,0.352806,0.340933,0.719182
0.451201,0.877108,0.580268,0.378346,0.37571
0.815099,0.883457,0.335808,0.344343,0.716613
0.639389,0.852818,0.502178,0.434394,0.508976
0.627558,0.842178,0.546878,0.357116,0.492983
0.714733,0.86101,0.442335,0.393577,0.591863
0.741162,0.888545,0.367364,0.39031,0.649811
0.873484,0.899026,0.274419,0.278732,0.796488
0.869982,0.912419,0.214096,0.260195,0.831472
0.801401,0.862954,0.428697,0.301951,0.666147
0.896618,0.935588,0.115383,0.273005,0.898437
0.500578,0.821834,0.628392,0.425511,0.36292
0.431034,0.81499,0.717534,0.510979,0.25906
0.570538,0.844594,0.62934,0.395494,0.410004
0.768934,0.858209,0.467735,0.32405,0.622404
0.755633,0.845478,0.466339,0.382937,0.602652
0.811121,0.899347,0.304453,0.307471,0.739922
0.521256,0.882671,0.543097,0.401154,0.430719
0.733748,0.821313,0.542141,0.41914,0.540612
0.533787,0.802591,0.652603,0.486552,0.354642
0.618703,0.877098,0.478979,0.385553,0.52184
0.482529,0.847358,0.664525,0.402246,0.340945
0.846122,0.907093,0.256183,0.315116,0.784361
0.595751,0.872207,0.488547,0.385581,0.503389
0.601264,0.804345,0.607162,0.438436,0.42629
0.390868,0.867101,0.629456,0.402214,0.310066
0.748137,0.891302,0.362885,0.451143,0.644277
0.793967,0.907917,0.278629,0.305503,0.745216
0.734606,0.867366,0.425014,0.370201,0.617478
0.605746,0.861969,0.519222,0.408769,0.487121
0.450767,0.845848,0.650017,0.36712,0.337614
0.398369,0.820065,0.683179,0.391427,0.283184
0.816515,0.880886,0.367224,0.333102,0.702774
0.82172,0.880129,0.345851,0.316526,0.720211
0.502814,0.880147,0.540367,0.426651,0.416478
0.736532,0.881048,0.408943,0.317759,0.638892
0.586062,0.843285,0.572424,0.387977,0.450163
0.583172,0.865232,0.525244,0.371961,0.478923
0.743087,0.815168,0.548559,0.375064,0.550596
0.679052,0.855418,0.506585,0.343394,0.547279
0.891846,0.897595,0.266034,0.307383,0.805381
0.556537,0.867299,0.540786,0.412905,0.447826
0.440379,0.825289,0.679436,0.495078,0.288666
0.348099,0.928223,0.401815,0.335345,0.425972
0.483161,0.841901,0.611687,0.377557,0.373576
0.501427,0.862993,0.571862,0.425934,0.39743
0.368976,0.867968,0.661734,0.522143,0.256952
0.561067,0.852998,0.538437,0.349747,0.462699
0.823964,0.871464,0.370305,0.356793,0.699644
0.622593,0.871148,0.505217,0.391499,0.50836
0.770165,0.883105,0.386624,0.33927,0.665503
0.87903,0.887318,0.298112,0.296967,0.782246
0.450281,0.846445,0.629444,0.435926,0.334592
0.393729,0.830334,0.692366,0.432696,0.268572
0.765669,0.851757,0.448561,0.37246,0.620413
0.603512,0.866086,0.519479,0.433731,0.48119
0.362371,0.871056,0.648539,0.563323,0.252347
0.760282,0.865419,0.42119,0.363492,0.635046
0.50461,0.814456,0.682491,0.370215,0.346827
0.668267,0.77705,0.565024,0.474675,0.476156
0.486761,0.83386,0.62849,0.423713,0.356708
0.503023,0.836249,0.614646,0.44567,0.369032
0.741143,0.82971,0.498442,0.330569,0.586342
0.832581,0.878434,0.348286,0.331506,0.721867
0.495482,0.863746,0.616046,0.444474,0.367128
0.698532,0.888425,0.401538,0.393073,0.607255
0.827775,0.88829,0.335843,0.303799,0.732272
0.412258,0.896006,0.546156,0.294704,0.390462
0.843857,0.895057,0.305106,0.287365,0.761511
0.630467,0.843458,0.529925,0.367446,0.501654
0.411447,0.843722,0.664261,0.48067,0.28521
0.754482,0.923836,0.155087,0.312262,0.788645
0.73398,0.873013,0.414274,0.37069,0.623287
0.351242,0.862819,0.682908,0.467284,0.246187
0.599276,0.833902,0.560921,0.406133,0.459083
0.753126,0.896246,0.335719,0.372549,0.677578
0.619184,0.875551,0.49686,0.365751,0.516438
0.52284,0.813,0.643534,0.41721,0.368155
0.542954,0.704009,0.741393,0.521875,0.295682
0.658531,0.797762,0.637608,0.436789,0.441994
0.822121,0.88316,0.355681,0.30621,0.717605
0.365901,0.84295,0.669634,0.394538,0.273855
0.840405,0.90554,0.257274,0.324088,0.77863
0.365532,0.877377,0.637292,0.501301,0.273052
0.497004,0.848886,0.622922,0.399445,0.371774
0.610832,0.863604,0.533013,0.347208,0.495099
0.453743,0.80941,0.690338,0.460342,0.29568
0.741587,0.843005,0.505183,0.395717,0.571439
0.817311,0.877025,0.374904,0.314651,0.702433
0.485587,0.845915,0.620793,0.387682,0.368525
0.720694,0.80411,0.595105,0.341521,0.518957
0.693344,0.900814,0.354579,0.343588,0.640281
0.431132,0.890415,0.552704,0.380863,0.379884
0.590741,0.887721,0.462164,0.361519,0.520905
0.846086,0.899677,0.283265,0.267318,0.778769
0.818648,0.897795,0.301401,0.388256,0.729534
0.680289,0.871406,0.461574,0.428068,0.556569
0.592431,0.756799,0.635809,0.426004,0.403767
0.628325,0.880358,0.438728,0.398598,0.546258
0.86138,0.914268,0.220834,0.258283,0.823652
0.68522,0.859618,0.479986,0.387048,0.55655
0.403738,0.83336,0.669315,0.472017,0.278865
0.935662,0.937584,0.0769312,0.222196,0.95099
0.802141,0.870425,0.388965,0.379892,0.67283
0.863449,0.902902,0.264065,0.331591,0.786213
0.451527,0.81156,0.691479,0.455123,0.295093
0.806094,0.89282,0.327341,0.289694,0.727866
0.815978,0.884171,0.356641,0.290783,0.716821
0.90285,0.920426,0.173799,0.27702,0.8687
0.428167,0.84493,0.658525,0.454176,0.303022
0.948569,0.940415,0.0538936,0.22637,0.969873
0.645424,0.903263,0.365472,0.303195,0.61591
0.841112,0.902533,0.26257,0.29695,0.781316
0.778132,0.896698,0.32388,0.335832,0.705222
0.509159,0.745761,0.648294,0.547214,0.325178
0.939246,0.937913,0.0636724,0.244787,0.95555
0.508822,0.864577,0.563306,0.456685,0.40015
0.512533,0.869195,0.572681,0.44808,0.399465
0.580476,0.803968,0.546989,0.48702,0.436724
0.595911,0.829505,0.573409,0.331792,0.464927
0.699038,0.861553,0.489448,0.343031,0.56826
0.645159,0.858071,0.505898,0.395874,0.518451
0.591428,0.625794,0.727981,0.537286,0.318863
0.836557,0.880059,0.351243,0.306628,0.727651
0.561067,0.853357,0.577188,0.375613,0.43711
0.882006,0.89348,0.283809,0.288208,0.793852
0.779708,0.900953,0.314822,0.310579,0.716355
0.725999,0.864364,0.445962,0.413791,0.592595
0.852381,0.888825,0.32184,0.30237,0.753825
0.798725,0.90398,0.291248,0.432752,0.715503
0.603454,0.847628,0.546681,0.427298,0.466158
0.552309,0.846348,0.596366,0.417211,0.413061
0.325531,0.759056,0.833538,0.513295,0.132301
0.452985,0.865396,0.6139,0.416491,0.350142
0.440102,0.850471,0.64394,0.44144,0.320534
0.883653,0.886,0.295711,0.306081,0.784161
0.561235,0.856648,0.571542,0.380379,0.439579
0.411148,0.815929,0.685321,0.505922,0.266027
0.834464,0.860825,0.393788,0.364715,0.690455
0.779295,0.901808,0.299374,0.352151,0.716108
0.557839,0.856357,0.566158,0.423066,0.431998
0.538627,0.811363,0.639968,0.42478,0.377228
0.588072,0.853651,0.548374,0.421823,0.458338
0.670468,0.763391,0.608999,0.369973,0.473567
0.644659,0.879564,0.465383,0.389645,0.543037
0.665205,0.85257,0.519557,0.348187,0.531403
0.654908,0.868738,0.48952,0.360921,0.540631
0.420502,0.820565,0.659425,0.50899,0.284832
0.816786,0.874205,0.375809,0.313557,0.701588
0.453458,0.816129,0.718341,0.366787,0.300018
0.813705,0.888632,0.324584,0.40441,0.710348
0.572481,0.905782,0.406441,0.340504,0.546147
0.916322,0.943365,0.0815996,0.270339,0.928686
0.562847,0.725473,0.69557,0.396675,0.35818
0.851093,0.882026,0.35281,0.281178,0.740247
0.413238,0.81691,0.718956,0.479619,0.254754
0.616236,0.864582,0.507831,0.360792,0.508842
0.736542,0.866025,0.434914,0.39342,0.608575
0.512025,0.829341,0.638567,0.40396,0.369027
0.75893,0.9047,0.307807,0.27471,0.715919
0.834329,0.88168,0.342272,0.313995,0.729844
0.834489,0.874558,0.36152,0.31215,0.719394
0.572214,0.850622,0.564915,0.384202,0.447864
0.835778,0.884997,0.328735,0.355572,0.729885
0.508849,0.843325,0.601507,0.368563,0.395312
0.598356,0.748502,0.742232,0.358292,0.363456
0.57949,0.861712,0.539883,0.370189,0.469108
0.78391,0.894207,0.33319,0.336599,0.703135
0.478387,0.851861,0.642645,0.506132,0.329986
0.548107,0.833546,0.632947,0.422659,0.388966
0.663776,0.869291,0.473728,0.357869,0.55462
0.833781,0.892201,0.310866,0.345799,0.740894
0.803351,0.89956,0.306872,0.325129,0.730792
0.462123,0.842276,0.618888,0.42999,0.347571
0.513678,0.840918,0.612657,0.474186,0.370875
0.531646,0.879795,0.494809,0.394043,0.463193
0.386629,0.844883,0.690266,0.45848,0.262066
0.493343,0.840237,0.608323,0.431606,0.370149
0.429338,0.846307,0.642286,0.408087,0.321571
0.809598,0.8734,0.369276,0.328175,0.698015
0.444939,0.833683,0.670515,0.432789,0.309195
0.474468,0.901885,0.500078,0.370282,0.435311
0.571829,0.859534,0.555746,0.402618,0.449749
0.744133,0.88801,0.341032,0.373144,0.668755
0.76021,0.894732,0.343857,0.401286,0.671382
0.805879,0.875595,0.369549,0.365834,0.688519
0.734689,0.869604,0.431147,0.391788,0.610219
0.718314,0.888667,0.390524,0.309981,0.640733
0.534179,0.861559,0.598319,0.427164,0.401439
0.402125,0.851622,0.67293,0.390728,0.294097
0.840878,0.88172,0.329297,0.3589,0.731452
0.678024,0.864775,0.503879,0.393868,0.539056
0.674839,0.840399,0.501692,0.440159,0.526708
0.526956,0.84901,0.591872,0.428431,0.399247
0.478229,0.810494,0.646531,0.445505,0.335642
0.640612,0.852934,0.503928,0.392436,0.517095
0.681955,0.858855,0.479874,0.395176,0.553082
0.678494,0.868499,0.474016,0.406932,0.55289
0.416282,0.836264,0.692866,0.35017,0.297992
0.792582,0.866992,0.406224,0.344937,0.66494
0.858083,0.899794,0.275055,0.30391,0.782577
0.869772,0.881801,0.31267,0.316301,0.76494
0.641171,0.874141,0.477993,0.434669,0.524901
0.850706,0.880778,0.356042,0.301796,0.734092
0.795664,0.874214,0.395539,0.3248,0.677066
0.46637,0.859355,0.606917,0.421924,0.359645
0.463897,0.843333,0.607449,0.425253,0.355664
0.526777,0.868436,0.56145,0.433389,0.416241
0.774103,0.857491,0.458813,0.318479,0.631055
0.811624,0.870738,0.366957,0.436393,0.678581
0.570345,0.855199,0.549076,0.394809,0.453548
0.513532,0.835356,0.623679,0.413174,0.376529
0.577507,0.874747,0.545995,0.437547,0.45271
0.422519,0.855003,0.637904,0.451618,0.312297
0.62238,0.846766,0.547778,0.413612,0.478836
0.58156,0.777624,0.645498,0.368749,0.406075
0.704674,0.855542,0.466047,0.403592,0.571128
0.801743,0.878035,0.37326,0.357402,0.686164
0.691851,0.879544,0.444983,0.37665,0.582894
0.469872,0.868387,0.591951,0.448649,0.365135
0.412118,0.881159,0.582168,0.346907,0.359437
0.848185,0.901539,0.269651,0.262353,0.788322
0.82318,0.891664,0.329974,0.296959,0.734502
0.643214,0.843452,0.535577,0.357437,0.507812
0.442864,0.849712,0.643937,0.427546,0.324771
0.823776,0.901368,0.288593,0.315618,0.753997
0.400016,0.851264,0.667185,0.47152,0.279844
0.458981,0.852668,0.604687,0.436742,0.35304
0.354782,0.812441,0.723612,0.472461,0.220443
0.852261,0.90603,0.247136,0.256819,0.804074
0.848708,0.888125,0.312257,0.333538,0.750557
0.470398,0.893554,0.523599,0.388065,0.4162
0.442308,0.809065,0.71961,0.411721,0.283424
0.463151,0.855621,0.616741,0.427618,0.351128
0.720092,0.881705,0.42003,0.331312,0.621176
0.510841,0.795653,0.688682,0.382556,0.342662
0.431802,0.817328,0.666196,0.428626,0.303247
0.394949,0.840741,0.667415,0.446433,0.280785
0.795793,0.892539,0.322779,0.362554,0.709975
0.57625,0.872686,0.517251,0.403953,0.473666
0.7367,0.867186,0.43139,0.377715,0.61377
0.853544,0.883687,0.31666,0.363415,0.744545
0.882671,0.902504,0.258216,0.309876,0.804372
0.495522,0.851716,0.589042,0.393069,0.39041
0.572288,0.877379,0.499933,0.358174,0.490184
0.600209,0.87404,0.484851,0.493945,0.486481
0.818228,0.900343,0.291338,0.378443,0.736831
0.458416,0.802982,0.652752,0.449741,0.319616
0.710302,0.852157,0.499334,0.384356,0.560171
0.743682,0.851945,0.462851,0.360738,0.602868
0.78202,0.871099,0.392615,0.334908,0.668622
0.605445,0.839943,0.560626,0.373973,0.46972
0.925291,0.922945,0.161929,0.245774,0.894045
0.888665,0.906843,0.236459,0.302271,0.821197
0.395103,0.787228,0.690274,0.420935,0.26835
0.464864,0.711723,0.691024,0.464823,0.29061
0.917291,0.929949,0.121546,0.338873,0.893103
0.422768,0.859919,0.635639,0.469189,0.310645
0.716625,0.880481,0.478342,0.349659,0.584633
0.412135,0.828233,0.70509,0.4761,0.26333
0.748503,0.849696,0.459541,0.357502,0.607736
0.503845,0.860269,0.613496,0.441678,0.373369
0.420742,0.84297,0.665459,0.503276,0.285221
0.452095,0.819956,0.678996,0.355257,0.322736
0.477472,0.833052,0.659827,0.471372,0.325367
0.448501,0.854542,0.624065,0.382914,0.347814
0.651749,0.882715,0.459589,0.400616,0.548222
0.444088,0.818707,0.674208,0.479823,0.295868
0.558109,0.870535,0.522764,0.412095,0.458728
0.68248,0.848489,0.485579,0.397474,0.548837
0.600088,0.877485,0.486021,0.374337,0.509939
0.828465,0.8866,0.3236,0.341721,0.731413
0.602867,0.867795,0.515985,0.393942,0.490765
0.67942,0.855599,0.493791,0.440419,0.534969
0.669801,0.891573,0.413579,0.367401,0.590193
0.851183,0.894882,0.303191,0.299676,0.764169
0.87095,0.891606,0.306285,0.319908,0.769268
0.538521,0.816459,0.635154,0.457548,0.37372
0.668969,0.862925,0.475784,0.357581,0.55585
0.548983,0.876538,0.543046,0.40225,0.445462
0.578526,0.842619,0.566993,0.417544,0.442854
0.385401,0.859219,0.650947,0.43948,0.287415
0.936011,0.929131,0.124011,0.240978,0.921695
0.590893,0.873897,0.503284,0.437696,0.482682
0.541606,0.873335,0.54623,0.434758,0.432842
0.799084,0.86175,0.418364,0.32766,0.66507
0.916391,0.921935,0.174769,0.271039,0.877133
0.757521,0.914665,0.241628,0.383201,0.729555
0.65845,0.839047,0.547335,0.348259,0.511522
0.878417,0.884561,0.316817,0.292294,0.77266
0.894213,0.898318,0.264002,0.325875,0.804181
0.462885,0.859551,0.594128,0.427628,0.363334
0.370458,0.888906,0.581726,0.610325,0.28469
0.635301,0.871909,0.461039,0.372031,0.542795
0.448168,0.873691,0.59991,0.465228,0.345994
0.837976,0.868708,0.366355,0.32316,0.716003
0.613885,0.874056,0.481481,0.391944,0.516229
0.805241,0.871617,0.401437,0.373174,0.669437
0.779409,0.909342,0.23902,0.33405,0.752449
0.472541,0.864423,0.617014,0.465818,0.349563
0.487978,0.796515,0.682224,0.488244,0.31231
0.620434,0.853995,0.52325,0.400704,0.49402
0.416956,0.860067,0.625347,0.321979,0.342116
0.776718,0.865995,0.429362,0.324462,0.647775
0.741197,0.877258,0.423217,0.355042,0.626161
0.706183,0.883639,0.414945,0.396348,0.603319
0.515706,0.844347,0.627209,0.40979,0.377482
0.713929,0.840416,0.504545,0.493435,0.536548
0.878555,0.89881,0.268736,0.301612,0.797765
0.39296,0.865763,0.63723,0.474858,0.292545
0.45957,0.87474,0.586149,0.438525,0.365086
0.440591,0.836559,0.662936,0.467112,0.30423
0.577992,0.860585,0.567261,0.424176,0.442943
0.652193,0.872813,0.470699,0.426958,0.53634
0.384255,0.874936,0.632582,0.473871,0.291256
0.444747,0.786313,0.721837,0.557403,0.252298
0.889667,0.897666,0.263671,0.287086,0.809451
0.473744,0.837989,0.618291,0.390944,0.361734
0.81979,0.869434,0.395718,0.35441,0.684134
0.551779,0.873794,0.551877,0.392851,0.44395
0.465654,0.837657,0.645213,0.499399,0.321358
0.707317,0.901808,0.344784,0.328937,0.656318
0.667523,0.853053,0.508387,0.358795,0.536548
0.393182,0.816305,0.750226,0.450544,0.232688
0.406496,0.862928,0.621493,0.414062,0.320262
0.902465,0.925914,0.122903,0.264643,0.898412
